"prompt","task"
"Voce recebeu uma fatura de fornecedor (ver PDF anexo). Registe a fatura no Tripletex. Crie o fornecedor se nao existir. Use a conta de despesas correta e o IVA de entrada.","Task 20: Leverandørfaktura fra PDF"
"Gjennomfør heile prosjektsyklusen for 'Dataplattform Strandvik' (Strandvik AS, org.nr 982465958): 1) Prosjektet har budsjett 412400 kr. 2) Registrer timar: Olav Stølsvik (prosjektleiar, olav.stlsvik@example.org) 29 timar og Jorunn Eide (konsulent, jorunn.eide@example.org) 100 timar. 3) Registrer leverandørkostnad 49600 kr frå Skogheim AS (org.nr 950515430). 4) Opprett kundefaktura for prosjektet.","Task 29: Komplett prosjektsyklus med avvik"
"Registrieren Sie den Lieferanten Brückentor GmbH mit der Organisationsnummer 867835989. E-Mail: faktura@brckentorgmbh.no.","Task 4: Opprett leverandør"
"Fixez un prix forfaitaire de 128500 NOK sur le projet ""Mise à niveau infrastructure"" pour Forêt SARL (nº org. 846715363). Le chef de projet est Camille Martin (camille.martin@example.org). Facturez au client 33 % du prix fixe comme paiement d'étape.","Task 15: Sett fastpris og fakturer prosjekt"
"Crea y envía una factura al cliente Luna SL (org. nº 844920520) por 20200 NOK sin IVA. La factura es por Servicio de red.","Task 6: Opprett enkel faktura"
"We have received invoice INV-2026-9075 from the supplier Brightstone Ltd (org no. 890932991) for 59800 NOK including VAT. The amount relates to office services (account 6300). Register the supplier invoice with the correct input VAT (25%).","Task 11: Registrer leverandørfaktura"
"Führen Sie den Monatsabschluss für März 2026 durch. Buchen Sie die Rechnungsabgrenzung (4200 NOK pro Monat von Konto 1700 auf Aufwand). Erfassen Sie die monatliche Abschreibung für eine Anlage mit Anschaffungskosten 64000 NOK und Nutzungsdauer 3 Jahre (lineare Abschreibung auf Konto 6030). Überprüfen Sie, ob die Saldenbilanz null ergibt. Buchen Sie außerdem eine Gehaltsrückstellung (Soll Gehaltsaufwand Konto 5000, Haben aufgelaufene Gehälter Konto 2900).","Task 26: Periodeavslutning (månedsavslutning)"
"Le paiement de Colline SARL (nº org. 916057903) pour la facture ""Maintenance"" (8300 NOK HT) a été retourné par la banque. Annulez le paiement afin que la facture affiche à nouveau le montant impayé.","Task 18: Reverser betaling (bankretur)"
"Vi trenger USB-hub fra denne kvitteringen bokfort pa avdeling HR. Bruk riktig utgiftskonto basert pa kjopet, og sorg for korrekt MVA-behandling.","Task 22: Utgift fra kvittering (PDF) på avdeling"
"Set a fixed price of 170500 NOK on the project ""Infrastructure Upgrade"" for Brightstone Ltd (org no. 850116091). The project manager is Charlotte Walker (charlotte.walker@example.org). Invoice the customer for 33% of the fixed price as a milestone payment.","Task 15: Sett fastpris og fakturer prosjekt"
"Erfassen Sie 18 Stunden für Sophia Schmidt (sophia.schmidt@example.org) auf der Aktivität ""Design"" im Projekt ""Sicherheitsaudit"" für Windkraft GmbH (Org.-Nr. 882984826). Stundensatz: 950 NOK/h. Erstellen Sie eine Projektrechnung an den Kunden basierend auf den erfassten Stunden.","Task 16: Timeføring og fakturering"
"Realize o encerramento mensal de março de 2026. Registe a reversão de acréscimos (9700 NOK por mês da conta 1710 para despesa). Registe a depreciação mensal de um ativo fixo com custo de aquisição 117300 NOK e vida útil 3 anos (depreciação linear para conta 6020). Verifique se o balancete está a zero. Registe também uma provisão salarial (débito conta de despesas salariais 5000, crédito conta de salários acumulados 2900).","Task 26: Periodeavslutning (månedsavslutning)"
"Registrieren Sie den Lieferanten Waldstein GmbH mit der Organisationsnummer 891505019. E-Mail: faktura@waldsteingmbh.no.","Task 4: Opprett leverandør"
"Registrer ei reiserekning for Marit Vik (marit.vik@example.org) for ""Konferanse Kristiansand"". Reisa varte 4 dagar med diett (dagssats 800 kr). Utlegg: flybillett 7600 kr og taxi 600 kr.","Task 13: Registrer reiseregning med utlegg"
"Reconcilie o extrato bancario (CSV anexo) com as faturas em aberto no Tripletex. Relacione os pagamentos recebidos com as faturas de clientes e os pagamentos efetuados com as faturas de fornecedores. Trate os pagamentos parciais corretamente.","Task 23: Bankavstemming fra CSV"
"Vous avez recu une lettre d'offre (voir PDF ci-joint) pour un nouvel employe. Effectuez l'integration complete : creez l'employe, attribuez le bon departement, configurez les details d'emploi avec le pourcentage et le salaire annuel, et configurez les heures de travail standard.","Task 21: Komplett onboarding fra tilbudsbrev (PDF)"
"Enviámos uma fatura de 8676 EUR ao Cascata Lda (org. nº 967770892) quando a taxa de câmbio era 11.62 NOK/EUR. O cliente pagou agora, mas a taxa é 10.89 NOK/EUR. Registe o pagamento e lance a diferença cambial (disagio) na conta correta.","Task 27: Valutafaktura med agio/disagio"
"El cliente Viento SL (org. nº 908616537) tiene una factura pendiente de 37850 NOK sin IVA por ""Mantenimiento"". Registre el pago completo de esta factura.","Task 7: Registrer utgående betaling"
"Führen Sie den Monatsabschluss für März 2026 durch. Buchen Sie die Rechnungsabgrenzung (2200 NOK pro Monat von Konto 1720 auf Aufwand). Erfassen Sie die monatliche Abschreibung für eine Anlage mit Anschaffungskosten 291700 NOK und Nutzungsdauer 5 Jahre (lineare Abschreibung auf Konto 6020). Überprüfen Sie, ob die Saldenbilanz null ergibt. Buchen Sie außerdem eine Gehaltsrückstellung (Soll Gehaltsaufwand Konto 5000, Haben aufgelaufene Gehälter Konto 2900).","Task 26: Periodeavslutning (månedsavslutning)"
"Opprett produktet ""Frokostblanding"" med produktnummer 1391. Prisen er 37450 kr eksklusiv MVA, og MVA-sats for næringsmidler på 15 % skal brukes.","Task 3: Opprett produkt med MVA"
"Vous avez recu un contrat de travail (voir PDF ci-joint). Creez l'employe dans Tripletex avec tous les details du contrat : numero d'identite nationale, date de naissance, departement, code de profession, salaire, pourcentage d'emploi et date de debut.","Task 19: Ansatt fra arbeidskontrakt (PDF)"
"Crie um pedido para o cliente Estrela Lda (org. nº 842487803) com os produtos Design web (1851) a 24050 NOK e Consultoria de dados (5065) a 13450 NOK. Converta o pedido em fatura e registe o pagamento total.","Task 10: Ordre til faktura til betaling"
"We need the Togbillett expense from this receipt posted to department Produksjon. Use the correct expense account and ensure proper VAT treatment.","Task 22: Utgift fra kvittering (PDF) på avdeling"
"Gjennomfør hele prosjektsyklusen for 'ERP-implementering Snøhetta' (Snøhetta AS, org.nr 954447499): 1) Prosjektet har budsjett 431600 kr. 2) Registrer timer: Sigurd Johansen (prosjektleder, sigurd.johansen@example.org) 47 timer og Erik Haugen (konsulent, erik.haugen@example.org) 46 timer. 3) Registrer leverandørkostnad 95050 kr fra Nordhav AS (org.nr 957929974). 4) Opprett kundefaktura for prosjektet.","Task 29: Komplett prosjektsyklus med avvik"
"Realize o encerramento mensal de março de 2026. Registe a reversão de acréscimos (9000 NOK por mês da conta 1700 para despesa). Registe a depreciação mensal de um ativo fixo com custo de aquisição 289500 NOK e vida útil 9 anos (depreciação linear para conta 6030). Verifique se o balancete está a zero. Registe também uma provisão salarial (débito conta de despesas salariais 5000, crédito conta de salários acumulados 2900).","Task 26: Periodeavslutning (månedsavslutning)"
"We have received invoice INV-2026-3749 from the supplier Ridgepoint Ltd (org no. 902484981) for 65850 NOK including VAT. The amount relates to office services (account 6590). Register the supplier invoice with the correct input VAT (25%).","Task 11: Registrer leverandørfaktura"
"Run payroll for William Taylor (william.taylor@example.org) for this month. The base salary is 39400 NOK. Add a one-time bonus of 11800 NOK on top of the base salary. If the salary API is unavailable, you can use manual vouchers on salary accounts (5000-series) to record the payroll expense.","Task 12: Lønnskjøring med tillegg"
"Execute the complete project lifecycle for 'Data Platform Ridgepoint' (Ridgepoint Ltd, org no. 808812096): 1) The project has a budget of 316550 NOK. 2) Log time: Daniel Harris (project manager, daniel.harris@example.org) 54 hours and Grace Johnson (consultant, grace.johnson@example.org) 78 hours. 3) Register supplier cost of 58200 NOK from Ironbridge Ltd (org no. 814796019). 4) Create a customer invoice for the project.","Task 29: Komplett prosjektsyklus med avvik"
"Registe 4 horas para Maria Ferreira (maria.ferreira@example.org) na atividade ""Utvikling"" do projeto ""Desenvolvimento de app"" para Estrela Lda (org. nº 909621682). Taxa horária: 1050 NOK/h. Gere uma fatura de projeto ao cliente com base nas horas registadas.","Task 16: Timeføring og fakturering"
"Du har mottatt en leverandorfaktura (se vedlagt PDF). Registrer fakturaen i Tripletex. Opprett leverandoren hvis den ikke finnes. Bruk riktig utgiftskonto og inngaende MVA.","Task 20: Leverandørfaktura fra PDF"
"Avstem bankutskrifta (vedlagt CSV) mot opne fakturaer i Tripletex. Match innbetalingar til kundefakturaer og utbetalingar til leverandorfakturaer. Handter delbetalingar korrekt.","Task 23: Bankavstemming fra CSV"
"Du har motteke ein leverandorfaktura (sjaa vedlagt PDF). Registrer fakturaen i Tripletex. Opprett leverandoren viss den ikkje finst. Bruk rett utgiftskonto og inngaaande MVA.","Task 20: Leverandørfaktura fra PDF"
"Crie três departamentos no Tripletex: ""Drift"", ""Kundeservice"" e ""HR"".","Task 5: Opprett avdelinger"
"Opprett ein faktura til kunden Strandvik AS (org.nr 900314183) med tre produktlinjer: Webdesign (9716) til 13450 kr med 25 % MVA, Skylagring (6906) til 7700 kr med 15 % MVA (næringsmiddel), og Systemutvikling (2265) til 18800 kr med 0 % MVA (avgiftsfri).","Task 9: Faktura med flere produktlinjer og ulik MVA"
"Einer Ihrer Kunden hat eine uberfallige Rechnung. Finden Sie die uberfallige Rechnung und buchen Sie eine Mahngebuhr von 70 NOK. Soll Forderungen (1500), Haben Mahngebuhren (3400). Erstellen Sie außerdem eine Rechnung über die Mahngebühr an den Kunden und senden Sie diese. Registrieren Sie zusätzlich eine Teilzahlung von 5000 NOK auf der überfälligen Rechnung.","Task 7: Registrer utgående betaling"
"Vi treng Oppbevaringsboks fra denne kvitteringa bokfort pa avdeling Regnskap. Bruk rett utgiftskonto basert pa kjopet, og sorg for korrekt MVA-behandling.","Task 22: Utgift fra kvittering (PDF) på avdeling"
"Du har motteke ein arbeidskontrakt (sjaa vedlagt PDF). Opprett den tilsette i Tripletex med alle detaljar fraa kontrakten: personnummer, fodselsdato, avdeling, stillingskode, lonn, stillingsprosent og startdato.","Task 19: Ansatt fra arbeidskontrakt (PDF)"
"Crie uma fatura para o cliente Montanha Lda (org. nº 869972401) com três linhas de produto: Sessão de formação (7733) a 22950 NOK com 25 % IVA, Licença de software (6106) a 10250 NOK com 15 % IVA (alimentos), e Manutenção (1351) a 3150 NOK com 0 % IVA (isento).","Task 9: Faktura med flere produktlinjer og ulik MVA"
